Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"53703, USA",01/01/2015,30.2,14,21.4,0.7,,0,0,0,12.8,258.58,30,9.9,56.1,64.85,Partially cloudy
"53703, USA",01/02/2015,31,17.9,25,13,,0,0.74,0.74,8.8,191.33,,9.9,63.5,69.19,"Snow, Partially cloudy"
"53703, USA",01/03/2015,33.2,27.2,30.1,19.1,,0.03,1.02,1.6,8.5,148.5,,4.1,97.9,87.39,"Snow, Overcast"
"53703, USA",01/04/2015,30.2,-1.9,15.6,-18.6,,0.1,0.37,1.97,18.2,318.33,26.2,6.1,70.5,70.2,"Snow, Partially cloudy"
"53703, USA",01/05/2015,2.3,-7.9,-2.1,-20.4,,0.11,0.93,2.7,10.4,270.21,17.2,8.5,50,66.29,"Snow, Partially cloudy"
"53703, USA",01/06/2015,13,-7.4,3.2,-17.1,,0.02,0.59,3.29,16.2,252.42,30,9,60.7,69.07,"Snow, Partially cloudy"
"53703, USA",01/07/2015,4.1,-7,-2.3,-25.6,,0,0,3.13,17.9,304,27.8,9.9,9.1,53.22,Clear
"53703, USA",01/08/2015,12.4,-7.8,1.5,-25.8,,0.1,0.51,3.46,19.8,234.46,30.1,6.6,64.7,70.83,"Snow, Partially cloudy"
"53703, USA",01/09/2015,9.3,-0.8,3.3,-15.9,,0.01,0.31,3.77,16.1,290.17,29.2,9.6,48.1,58.29,"Snow, Partially cloudy"
"53703, USA",01/10/2015,21.2,-3,8.2,-16.9,,0,0,3.27,13.2,215.46,21.9,9.9,64.8,67.06,Partially cloudy
"53703, USA",01/11/2015,26.3,9.8,19.4,2,,0,0,3.27,6.4,217.96,,9.9,72.3,67.9,Partially cloudy
"53703, USA",01/12/2015,19.3,-5.5,10.4,-15.5,,0,0,3.02,17.7,289.17,20.7,9.9,24.1,63.07,Clear
"53703, USA",01/13/2015,18.2,-3.2,6.5,-14.4,,0,0.37,3.27,6.9,192.38,,9.6,47.9,72.95,"Snow, Partially cloudy"
"53703, USA",01/14/2015,21.1,-4.3,13.6,-2.7,,0,0,3.09,8,243.83,,9.7,79.6,76.09,Overcast
"53703, USA",01/15/2015,35.4,20.3,27.6,10.6,,0,0,2.99,8.9,238.96,18.3,8.8,51.5,72.33,Partially cloudy
"53703, USA",01/16/2015,32.2,24.4,28.2,14,,0,0.35,2.16,15.7,171.67,20.8,9.8,86.9,76.1,"Snow, Overcast"
