"","X1","Date.time","Temperature","Precipitation","Relative.Humidity","Cloud.Cover","codedPrecipitation","month","Jan","Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Dec"
"1",1,2015-01-01,21.4,0,64.85,56.1,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"2",2,2015-01-02,25,0,69.19,63.5,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"3",3,2015-01-03,30.1,0.03,87.39,97.9,1,"01",1,0,0,0,0,0,0,0,0,0,0,0
"4",4,2015-01-04,15.6,0.1,70.2,70.5,1,"01",1,0,0,0,0,0,0,0,0,0,0,0
"5",5,2015-01-05,-2.1,0.11,66.29,50,1,"01",1,0,0,0,0,0,0,0,0,0,0,0
"6",6,2015-01-06,3.2,0.02,69.07,60.7,1,"01",1,0,0,0,0,0,0,0,0,0,0,0
"7",7,2015-01-07,-2.3,0,53.22,9.1,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"8",8,2015-01-08,1.5,0.1,70.83,64.7,1,"01",1,0,0,0,0,0,0,0,0,0,0,0
"9",9,2015-01-09,3.3,0.01,58.29,48.1,1,"01",1,0,0,0,0,0,0,0,0,0,0,0
"10",10,2015-01-10,8.2,0,67.06,64.8,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"11",11,2015-01-11,19.4,0,67.9,72.3,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"12",12,2015-01-12,10.4,0,63.07,24.1,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"13",13,2015-01-13,6.5,0,72.95,47.9,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"14",14,2015-01-14,13.6,0,76.09,79.6,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"15",15,2015-01-15,27.6,0,72.33,51.5,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"16",16,2015-01-16,28.2,0,76.1,86.9,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"17",17,2015-01-17,36.2,0,73.59,78.1,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"18",18,2015-01-18,35.8,0,69.51,66.8,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"19",19,2015-01-19,30.4,0.01,84.65,81.4,1,"01",1,0,0,0,0,0,0,0,0,0,0,0
"20",20,2015-01-20,31.8,0,88.81,100,0,"01",1,0,0,0,0,0,0,0,0,0,0,0
"21",21,2015-01-21,28.8,0.05,83.41,99.8,1,"01",1,0,0,0,0,0,0,0,0,0,0,0
